Mês,Dia,Hora,Pressao Atmosferica {kPa},Umidade {kg/kg},Densidade do ar {kg/m3}
1,9,13,89.6,16.973.495,1.025.482.202
1,9,14,89.6,1.661.229,102.055.227
1,9,15,89.5,15.376.466,1.018.654.821
1,9,16,89.6,16.862.384,10.170.805
1,9,17,89.3,17.061.789,1.015.737.961
1,9,18,89.3,16.590.801,101.648.715
1,9,19,89.4,15.814.451,1.020.232.904
1,9,20,89.4,15.821.743,1.024.004.295
1,9,21,89.4,15.750.748,1.027.234.799
1,9,22,89.5,16.089.405,1.029.578.626
1,9,23,89.6,15.710.567,1.034.494.752
1,9,24,89.6,15.858.138,1.036.720.854
1,10,1,89.5,15.527.039,1.036.807.797
1,10,2,89.5,15.366.591,1.038.130.113
1,10,3,89.5,15.166.623,1.039.164.902
1,10,4,89.4,15.409.721,1.038.316.795
1,10,5,89.4,15.551.996,1.038.085.074
1,10,6,89.4,15.451.559,1.038.603.418
1,10,7,89.5,155.758,1.039.562.542
1,10,8,89.5,15.899.174,1.036.909.621
1,10,9,89.6,15.710.567,1.034.494.752
1,10,10,89.6,14.575.648,103.880.961
1,10,11,89.6,15.174.262,103.571.739
1,10,12,89.6,15.336.644,1.034.398.881
1,10,13,89.6,15.837.868,1.030.437.482
1,10,14,89.5,16.616.898,1.025.601.855
1,10,15,89.4,16.692.221,1.022.264
1,10,16,89.4,17.115.423,1.021.242.912
1,10,17,89.3,17.366.001,1.019.014.216
1,10,18,89.2,17.503.165,1.017.312.302
1,10,19,89.2,17.127.149,101.997.035
1,10,20,89.3,16.922.496,1.022.475.275
1,10,21,89.4,15.706.372,1.029.394.659
1,10,22,89.4,15.580.649,1.030.994.902
1,10,23,89.5,15.522.404,1.034.347.986
1,10,24,89.5,15.670.912,1.036.573.859
1,11,1,89.5,15.918.627,1.035.818.339
1,11,2,89.4,15.731.179,103.567.075
1,11,3,89.4,15.959.597,1.036.006.244
1,11,4,89.3,14.822.407,1.037.757.453
1,11,5,89.2,15.021.806,1.036.624.839
1,11,6,89.2,15.063.594,1.036.911.035
1,11,7,89.3,14.766.539,1.038.557.784
1,11,8,89.4,15.618.972,1.039.751.864
1,11,9,89.4,1.667.285,1.033.439.085
1,11,10,89.4,1.667.285,1.033.439.085
1,11,11,89.5,16.106.262,1.035.866.617
1,11,12,89.5,15.899.174,1.036.909.621
1,11,13,89.5,16.252.634,1.035.629.047
1,11,14,89.4,16.566.427,1.033.963.553
1,11,15,89.4,14.933.713,1.036.261.015
1,11,16,89.3,15.810.617,1.033.678.688
1,11,17,89.3,15.360.895,1.035.466.306
1,11,18,89.2,15.278.405,103.479.353
1,11,19,89.2,15.278.405,103.479.353
1,11,20,89.2,15.278.405,103.479.353
1,11,21,89.3,15.260.397,1.035.982.887
1,11,22,89.4,1.451.408,1.040.488.725
1,11,23,89.5,14.347.799,104.299.434
1,11,24,89.5,1.438.951,1.043.282.959
1,12,1,89.4,14.459.974,1.041.289.053
1,12,2,89.4,14.597.543,1.041.064.019
1,12,3,89.4,14.501.698,1.041.577.069
1,12,4,89.3,14.560.476,1.040.672.009
1,12,5,89.3,14.411.918,104.198.493
1,12,6,89.3,1.426.552,1.043.297.123
1,12,7,89.3,14.328.494,1.041.407.883
1,12,8,89.4,14.790.909,1.040.036.375
1,12,9,89.4,15.242.431,1.037.172.245
1,12,10,89.5,15.224.506,1.038.361.603
1,12,11,89.5,15.938.559,103.226.947
1,12,12,89.5,15.060.326,1.028.802.687
1,12,13,89.5,15.206.251,1.028.567.071
1,12,14,89.4,15.371.793,1.027.150.973
1,12,15,89.4,15.519.111,1.026.913.607
1,12,16,89.3,15.454.644,1.025.175.873
1,12,17,89.2,15.138.034,1.026.616.678
1,12,18,89.2,15.473.841,1.023.997.022
1,12,19,89.2,14.720.624,1.023.825.585
1,12,20,89.2,1.374.197,103.026.557
1,12,21,89.3,14.967.867,1.033.989.672
1,12,22,89.4,15.059.045,1.037.117.041
1,12,23,89.5,14.378.301,1.044.373.771
1,12,24,89.5,14.378.301,1.044.373.771
1,13,1,89.5,1.451.468,1.044.149.993
1,13,2,89.5,14.747.416,1.043.410.814
1,13,3,89.4,14.353.377,1.042.890.398
1,13,4,89.3,14.359.306,1.042.785.686
1,13,5,89.3,14.370.203,1.041.696.309
1,13,6,89.3,14.548.521,1.041.761.309
1,13,7,89.3,14.769.222,1.042.114.365
1,13,8,89.4,14.999.785,1.041.475.319
1,13,9,89.4,15.731.179,103.567.075
1,13,10,89.4,15.582.759,1.033.445.814
1,13,11,89.5,15.332.792,1.026.974.803
1,13,12,89.5,15.318.085,1.023.200.559
1,13,13,89.5,15.750.474,1.017.376.313
1,13,14,89.4,16.259.675,10.181.534
1,13,15,89.3,1.597.464,1.013.728.861
1,13,16,89.2,16.021.952,1.018.988.342
1,13,17,89.2,15.953.776,1.019.783.158
1,13,18,89.2,16.189.439,102.009.315
1,13,19,89.1,16.167.694,1.018.641.235
1,13,20,89.2,15.752.908,102.216.831
1,13,21,89.3,16.337.758,1.028.620.145
1,13,22,89.4,16.402.195,1.030.367.217
1,13,23,89.4,16.337.195,103.117.231
1,13,24,89.4,15.811.625,1.033.778.095
1,14,1,89.4,15.979.167,1.034.915.363
1,14,2,89.4,15.917.701,103.572.098
1,14,3,89.3,1.436.438,1.038.149.923
1,14,4,89.3,14.632.003,1.042.338.992
1,14,5,89.3,15.017.179,1.040.281.951
1,14,6,89.3,14.961.829,1.041.085.302
1,14,7,89.4,14.902.766,104.199.076
1,14,8,89.4,1.505.557,1.040.671.449
1,14,9,89.5,15.796.522,1.037.430.287
1,14,10,89.6,15.626.864,1.033.928.044
1,14,11,89.6,16.191.854,1.036.531.698
1,14,12,89.6,16.429.067,1.025.664.539
1,14,13,89.5,15.712.614,1.027.056.243
1,14,14,89.5,15.876.578,1.030.620.297
1,14,15,89.4,15.504.717,1.023.133.966
1,14,16,89.3,15.782.704,1.021.200.268
1,14,17,89.2,16.426.523,1.016.633.088
1,14,18,89.2,15.227.403,1.019.915.964
1,14,19,89.3,16.166.215,1.029.944.949
1,14,20,89.4,14.824.636,1.034.324.415
1,14,21,89.4,15.200.624,1.036.886.593
1,14,22,89.4,15.043.404,1.038.204.607
1,14,23,89.5,14.731.806,1.040.940.562
1,14,24,89.5,14.731.806,1.040.940.562
1,15,1,89.5,14.496.961,1.041.680.599
1,15,2,89.5,14.347.799,104.299.434
1,15,3,89.4,14.269.968,1.042.313.082
1,15,4,89.4,13.414.049,1.044.432.172
